producto,categoria,proveedor,estado,metodo,imagen_local,fuente_imagen,pagina_fuente,error
Ryzen 5 5500,Procesadores,AMD,real,official-image-search,../src/imgs/productos/ryzen-5-5500.webp,https://www.amd.com/content/dam/amd/en/images/products/processors/ryzen/ryzen-5-5500x3d/3398650-ryzen-5-5500x3d-product-left.jpg,https://www.amd.com/es/products/processors/desktops/ryzen/5000-series/amd-ryzen-5-5500x3d.html,
Ryzen 5 5600G,Procesadores,AMD,real,official-image-search,../src/imgs/productos/ryzen-5-5600g.webp,https://www.amd.com/content/dam/amd/en/images/products/processors/ryzen/2505503-ryzen-5-5600x.jpg,https://www.amd.com/fr/products/processors/desktops/ryzen/5000-series/amd-ryzen-5-5600x.html,
Ryzen 5 5600,Procesadores,AMD,real,official-image-search,../src/imgs/productos/ryzen-5-5600.webp,https://www.amd.com/content/dam/amd/en/images/products/processors/ryzen/2505503-ryzen-5-5600x.jpg,https://www.amd.com/fr/products/processors/desktops/ryzen/5000-series/amd-ryzen-5-5600x.html,
Ryzen 7 5700X,Procesadores,AMD,fallback,official-image-search,../src/imgs/productos/ryzen-7-5700x.webp,https://www.amd.com/content/dam/amd/en/images/products/som/2330800-black-grey-angles-gradient-texture-background.jpg,https://www.amd.com/ko/support/downloads/drivers.html/processors/ryzen/ryzen-5000-series/amd-ryzen-7-5700x.html,Imagen tipo banner descartada (1920x300)
Ryzen 7 5700X3D,Procesadores,AMD,real,official-image-search,../src/imgs/productos/ryzen-7-5700x3d.webp,https://www.amd.com/content/dam/amd/en/images/products/processors/ryzen/2505503-ryzen-7-5800x.jpg,https://www.amd.com/fr/products/processors/desktops/ryzen/5000-series/amd-ryzen-7-5800xt.html,
Ryzen 5 7600,Procesadores,AMD,real,official-image-search,../src/imgs/productos/ryzen-5-7600.webp,https://www.amd.com/content/dam/amd/en/images/products/processors/ryzen/2841053-amd-ryzen-5-7600-x3d.jpg,https://www.amd.com/ja/products/processors/desktops/ryzen/7000-series/amd-ryzen-5-7600x3d.html,
Ryzen 5 8600G,Procesadores,AMD,real,official-image-search,../src/imgs/productos/ryzen-5-8600g.webp,https://cdn11.bigcommerce.com/s-7g81zn9sor/images/stencil/1280x1280/products/157/462/2454599-amd-ryzen-5-8600g-PIB-shop__88778.1705523581.jpg?c=1,https://shop-us-en.amd.com/amd-ryzen-5-8600G-processor/,
Core i3-14100F,Procesadores,Intel,real,official-image-search,../src/imgs/productos/core-i3-14100f.webp,https://www.intel.com/content/dam/www/central-libraries/us/en/images/2022-08/rpl-2022-dotcom-2col-nextlevel.png,https://www.intel.com/content/www/us/en/products/docs/processors/core/13th-gen-processors.html,
Core i5-14400F,Procesadores,Intel,fallback,official-image-search,../src/imgs/productos/core-i5-14400f.webp,https://www.thailand.intel.com/content/dam/logos/intel-header-logo.svg,https://www.thailand.intel.com/content/www/th/th/products/sku/236777/intel-core-i5-processor-14400f-20m-cache-up-to-4-70-ghz/specifications.html,Imagen demasiado pequeña (395x156)
Core i5-14600K,Procesadores,Intel,real,official-image-search,../src/imgs/productos/core-i5-14600k.webp,https://www.intel.com/content/dam/www/central-libraries/xl/es/images/2022-06/km-1920x1080-i5.png,https://www.intel.com/content/www/us/en/products/sku/236799/intel-core-i5-processor-14600k-24m-cache-up-to-5-30-ghz.html,
PRIME A520M-A II,Placas madre,ASUS,real,official-image-search,../src/imgs/productos/prime-a520m-a-ii.webp,https://dlcdnwebimgs.asus.com/gain/ca98ca7d-fe6a-46c7-900b-96d7c65d57bd/w800,https://www.asus.com/motherboards-components/motherboards/prime/prime-a520m-a-ii/,
B550M DS3H AC,Placas madre,Gigabyte,real,official-image-search,../src/imgs/productos/b550m-ds3h-ac.webp,https://www.gigabyte.com/Image/a81fe2306edfafb3a4fb85ccafd0081b/ProductRemoveBg/35281,https://www.gigabyte.com/Motherboard/B550M-DS3H-AC-rev-17,
